cname,expectancy,gdp_per_capita
Afghanistan,63.377,1928
Albania,78.025,10032
Algeria,76.09,14004
Angola,59.398,8689
Argentina,76.068,19502
Armenia,74.467,10042
Australia,82.794,48357
Austria,81.182,41294
Azerbaijan,72.266,17460
Bahrain,76.762,40483
Bangladesh,71.514,3402
Barbados,78.801,11849
Belarus,73.652,18136
Belgium,80.969,38569
Benin,60.608,2055
Bolivia,70.277,6200
Bosnia and Herzegovina,76.865,9495
Botswana,67.338,14805
Brazil,74.994,15826
Bulgaria,74.584,16373
Burkina Faso,59.919,1450
Burundi,60.123,694
Cambodia,68.637,3086
Cameroon,57.583,2778
Canada,82.026,43619
Cape Verde,72.117,6266
Central African Republic,50.881,576
Chad,53.137,2384
Chile,79.646,21589
China,75.928,12244
Colombia,76.531,13218
Comoros,63.471,1696
Congo,63.097,6272
Costa Rica,79.565,13677
Cote d'Ivoire,56.065,3218
Croatia,77.892,19698
Cuba,78.561,7889
Cyprus,80.35,24963
Czechia,78.692,28194
Democratic Republic of Congo,59.254,836
Denmark,80.475,44635
Djibouti,64.136,2941
Dominica,74.194,9319
Dominican Republic,73.241,13762
Ecuador,76.143,10905
Egypt,71.302,11159
El Salvador,72.412,8109
Equatorial Guinea,57.359,37822
Estonia,77.783,24493
Eswatini,55.359,7969
Ethiopia,65.048,1553
Finland,81.196,36836
France,82.224,36827
Gabon,64.913,18389
Gambia,60.91,1786
Georgia,72.973,10603
Germany,80.77,44293
Ghana,62.772,3809
Greece,81.548,22442
Guatemala,73.25,7138
Guinea,59.598,1364
Guinea-Bissau,56.959,1393
Haiti,62.485,1742
Honduras,74.495,4706
Hong Kong,84.043,47777
Hungary,76.006,22788
Iceland,82.481,39727
India,68.607,5794
Indonesia,70.768,10484
Iran,75.796,16253
Iraq,69.929,13014
Ireland,81.344,54278
Israel,82.34,30954
Italy,82.828,33118
Jamaica,74.098,7024
Japan,83.879,37031
Jordan,74.078,11519
Kazakhstan,71.319,23850
Kenya,64.798,3046
Kuwait,75.13,71354
Kyrgyzstan,70.876,4754
Laos,66.546,5559
Latvia,74.733,21488
Lebanon,78.768,12953
Lesotho,51.038,2710
Liberia,62.269,865
Libya,72.121,8514
Lithuania,74.923,23889
Luxembourg,81.636,55972
Madagascar,65.539,1360
Malawi,61.953,1124
Malaysia,75.461,22432
Mali,57.509,1553
Malta,81.896,28700
Mauritania,63.936,3424
Mauritius,74.5,18322
Mexico,74.904,16096
Moldova,71.478,5775
Mongolia,69.111,12398
Montenegro,76.452,17249
Morocco,75.726,8001
Mozambique,57.206,1103
Myanmar,65.81,5021
Namibia,62.119,9462
Nepal,69.515,2455
Netherlands,81.715,44869
New Zealand,81.713,33696
Nicaragua,73.649,4866
Niger,60.631,913
Nigeria,53.112,5578
North Korea,71.481,1762.5167
North Macedonia,75.406,12371
Norway,81.912,82713
Oman,76.887,38738
Pakistan,66.577,5030
Palestine,73.442,5003
Panama,77.776,20723
Paraguay,73.662,8539
Peru,75.792,11445
Philippines,70.644,7047
Poland,77.859,24177
Portugal,81.224,24915
Puerto Rico,79.52,35384
Romania,75.476,19320
Russia,71.464,23691
Rwanda,67.45,1693
Saint Lucia,75.596,10185
Sao Tome and Principe,69.377,3545
Saudi Arabia,74.651,51681
Senegal,66.747,2311
Serbia,75.309,12765
Seychelles,73.182,25690
Sierra Leone,52.941,1563
Singapore,82.877,65660
Slovakia,76.827,24588
Slovenia,80.673,26268
South Africa,62.649,12246
South Korea,82.1,35269
Spain,82.981,31847
Sri Lanka,76.316,10763
Sudan,64.429,3625
Sweden,82.251,43746
Switzerland,83.142,59307
Syria,69.908,3049
Taiwan,79.743,41668
Tajikistan,70.137,3789
Tanzania,63.111,2566
Thailand,76.091,15020
Togo,59.927,1370
Trinidad and Tobago,72.941,30702
Tunisia,75.922,11060
Turkey,76.532,19836
Turkmenistan,67.704,22675
Uganda,61.373,1954
Ukraine,71.535,8961
United Arab Emirates,77.285,74746
United Kingdom,81.052,36941
United States,78.91,52591
Uruguay,77.369,19244
Uzbekistan,70.928,9720
Venezuela,72.584,18802
Vietnam,75.11,5763
Yemen,66.085,2844
Zambia,61.737,3478
Zimbabwe,59.534,1560